"turnover_count","x","y","distance_ball_moved","ball_movement_speed","percent_distance","pass.angle","pressing_count_1","pressing_count_2","pressing_count_3","play_pattern.name","pass.type.name","right_option","front_option","left_option","back_option","player.name","match_id","position_group","team.name","x_end","y_end","xTurnover","predicted_turnover","cv_fold","risk_category","correct_prediction"
0,84.3,70,10.6527,14.38452,26.49244,0.6923344,0,0,1,"From Free Kick","",1,1,1,0,"Player_4620",3764295,"FB","Team_34",92.5,76.8,0.0930549038265708,0,3,"Non-High Risk",TRUE
0,34.3,26.9,17.25688,10.40151,-10.74014,-1.48958,1,0,2,"From Free Kick","",0,1,1,1,"Player_3381",3764295,"DM","Team_39",35.7,9.7,0.109253073676988,0,2,"Non-High Risk",TRUE
0,37.2,6,11.92686,7.889163,8.488557,-0.06712589,0,1,0,"From Free Kick","",1,1,0,1,"Player_3382",3764295,"FB","Team_39",49.1,5.2,0.0987693677335596,0,1,"Non-High Risk",TRUE
1,48.8,6,3.420526,5.724883,4.075515,0.9097531,1,1,1,"From Free Kick","",1,0,0,1,"Player_20039",3764295,"WG","Team_39",50.9,8.7,0.148665246995064,0,2,"Non-High Risk",FALSE
0,67.1,71.8,10.648,9.141064,25.55775,0.2563677,0,2,0,"Regular Play","",0,1,1,1,"Player_3720",3764295,"WG","Team_34",77.4,74.5,0.130962528484463,0,2,"Non-High Risk",TRUE
0,77.4,74.5,15.78892,13.58362,16.74433,-1.214991,0,1,1,"Regular Play","",0,1,1,1,"Player_4620",3764295,"FB","Team_34",82.9,59.7,0.190653561203596,0,2,"Non-High Risk",TRUE
1,82.9,59.7,3.420526,18.70622,-13.91599,-2.48055,0,1,1,"Regular Play","",0,1,1,1,"Player_3661",3764295,"ST","Team_34",80.2,57.6,0.177661058512829,0,1,"Non-High Risk",FALSE
0,48.4,14.9,6.59242,7.269918,-7.978664,-2.752636,0,0,3,"Regular Play","Recovery",1,1,0,1,"Player_3382",3764295,"FB","Team_39",42.3,12.4,0.202878118856739,0,1,"Non-High Risk",TRUE
0,42.7,13.1,15.21184,12.67654,11.64425,1.531343,0,0,3,"Regular Play","",1,1,1,1,"Player_20039",3764295,"WG","Team_39",43.3,28.3,0.0590725379276848,0,1,"Non-High Risk",TRUE
1,44.1,32.8,73.62174,17.09042,79.83816,0.3320595,0,0,1,"Regular Play","",1,1,1,0,"Player_20004",3764295,"DM","Team_39",113.7,56.8,0.336714210242008,0,5,"Non-High Risk",FALSE
0,20.9,54.7,28.20869,21.40515,-10.88148,-1.595614,0,0,0,"Regular Play","",0,1,1,1,"Player_3628",3764295,"CB","Team_34",20.2,26.5,0.140606863631119,0,2,"Non-High Risk",TRUE
0,21.5,23.1,19.19505,17.41795,-5.332254,-1.247398,0,0,1,"Regular Play","",1,1,1,0,"Player_3663",3764295,"CB","Team_34",27.6,4.9,0.0536845227560115,0,5,"Non-High Risk",TRUE
1,29.4,3.4,2.325941,28.5206,2.256894,0.4444192,1,0,1,"Regular Play","",1,1,0,1,"Player_3467",3764295,"FB","Team_34",31.5,4.4,0.143118923895362,0,3,"Non-High Risk",FALSE
0,46.9,9.3,7.589466,8.896474,-4.473832,-1.249046,0,1,1,"From Throw In","",1,1,1,1,"Player_3583",3764295,"DM","Team_34",49.3,2.1,0.0462350345663516,0,1,"Non-High Risk",TRUE
0,56.6,1.3,10.33925,13.97335,0.5033688,2.410934,1,1,2,"From Throw In","",1,0,0,1,"Player_10967",3764295,"WG","Team_34",48.9,8.2,0.289582880028294,0,2,"Non-High Risk",TRUE
0,48.9,8.2,6.902898,7.679366,-8.393172,-2.243275,0,1,2,"From Throw In","",1,1,0,1,"Player_3583",3764295,"DM","Team_34",44.6,2.8,0.0837597517752008,0,5,"Non-High Risk",TRUE
0,44.6,2.1,10.90046,11.5186,-4.877442,2.755975,0,0,2,"From Throw In","",1,1,0,1,"Player_3467",3764295,"FB","Team_34",34.5,6.2,0.0684262221791915,0,1,"Non-High Risk",TRUE
0,42.4,7.1,14.51654,18.64217,14.78818,0.3369999,0,0,2,"From Throw In","",1,1,1,0,"Player_3663",3764295,"CB","Team_34",56.1,11.9,0.0938747640439231,0,2,"Non-High Risk",TRUE
0,55.2,11.9,10.39423,12.42063,-8.957556,-1.377174,1,1,2,"From Throw In","",0,1,0,1,"Player_3583",3764295,"DM","Team_34",57.2,1.7,0.244091879053394,0,4,"Non-High Risk",TRUE
1,57.2,1.7,4.802083,3.326081,2.130308,2.118359,1,0,2,"From Throw In","",1,1,0,1,"Player_3467",3764295,"FB","Team_34",54.7,5.8,0.0577860594268705,0,2,"Non-High Risk",FALSE
0,44.4,42.1,23.62562,11.59233,6.312147,1.617373,0,0,1,"From Free Kick","",1,1,1,0,"Player_3336",3764295,"CB","Team_39",43.3,65.7,0.0617360387114537,0,1,"Non-High Risk",TRUE
0,43.6,72.1,25.95631,17.26185,-14.50842,-1.796151,0,1,0,"From Free Kick","",1,1,1,1,"Player_3324",3764295,"CB","Team_39",37.8,46.8,0.117314664097452,0,2,"Non-High Risk",TRUE
0,38.5,39.6,26.79179,15.29177,-13.11251,-1.360224,0,0,0,"From Free Kick","",1,1,1,0,"Player_3336",3764295,"CB","Team_39",44.1,13.4,0.0686760899184754,0,3,"Non-High Risk",TRUE
0,58.5,12.1,15.86443,14.79846,-0.07487182,-0.5880026,0,1,1,"From Free Kick","",1,1,1,0,"Player_3381",3764295,"DM","Team_39",71.7,3.3,0.074452472836941,0,2,"Non-High Risk",TRUE
0,35.7,39.7,17.70028,11.56147,-3.050357,1.971237,1,0,2,"Regular Play","Recovery",0,1,1,1,"Player_5204",3764295,"AM","Team_39",28.8,56,0.228013852628641,0,5,"Non-High Risk",TRUE
