"","turnover_count","x","y","play_pattern.name","distance_ball_moved","ball_movement_speed","percent_distance","pass.type.name","pass.angle","pressing_count_1","pressing_count_2","pressing_count_3","right_option","front_option","left_option","back_option","player.name","match_id","position_group"
"152",1,58.6,19.9,"Regular Play",37.7065,15.50726,25.83022,"Recovery",-0.01856551,0,1,1,1,1,0,1,"Player_3467",3764295,"FB"
"153",0,23.8,60.9,"Regular Play",8.658522,8.058277,9.975239,"Recovery",-0.2449787,1,0,1,0,1,1,0,"Player_3324",3764295,"CB"
"154",1,32.2,58.8,"Regular Play",1.931321,18.69189,2.55117,"",0.3708913,1,0,2,0,0,1,1,"Player_20004",3764295,"DM"
"155",0,35.7,59.2,"Regular Play",16.23884,11.7643,10.27562,"",1.131937,1,0,4,1,0,1,1,"Player_3381",3764295,"DM"
"156",0,39.1,75.4,"Regular Play",25.05713,12.98844,-28.07665,"",-2.401362,0,1,0,0,1,1,1,"Player_5204",3764295,"AM"
"157",0,20.9,51.7,"Regular Play",20.72993,14.42095,-2.590086,"",-1.366778,0,0,1,1,1,1,0,"Player_3324",3764295,"CB"
"158",0,54.7,25.1,"Regular Play",24.5416,10.16428,-4.593613,"",-0.8055683,0,0,3,1,1,1,1,"Player_3336",3764295,"CB"
"159",1,89.7,8,"Regular Play",24.19463,23.28193,37.7015,"",1.112694,0,1,1,1,1,0,1,"Player_3382",3764295,"FB"
"160",0,29.7,75.8,"Regular Play",21.02784,6.104687,18.50371,"Recovery",-0.8358603,1,0,2,0,0,1,1,"Player_4620",3764295,"FB"
"161",0,69.4,19.6,"Regular Play",10.18283,7.853097,3.125791,"Recovery",2.237869,1,0,2,1,1,0,1,"Player_3382",3764295,"FB"
"162",0,68.6,38.2,"Regular Play",16.12265,21.9817,34.059,"",0.7766265,0,0,1,1,1,1,1,"Player_3381",3764295,"DM"
"163",0,80.1,49.5,"Regular Play",7.366139,9.197269,-23.34747,"",-2.298566,0,1,1,1,1,1,1,"Player_4319",3764295,"ST"
"164",0,75.2,44,"Regular Play",31.89436,15.79916,59.54127,"",1.084712,0,0,1,1,1,1,1,"Player_3381",3764295,"DM"
"165",0,102.3,58.2,"Regular Play",6.576473,8.062753,5.70313,"",0.1526493,1,1,2,0,0,1,1,"Player_3318",3764295,"WG"
"166",1,85.5,17.8,"From Free Kick",11.92183,11.80725,8.814345,"",0.1430833,1,0,3,1,0,1,1,"Player_3661",3764295,"ST"
"167",0,93.6,5.8,"From Free Kick",6.087693,5.03165,5.519695,"Recovery",2.309716,1,0,3,1,1,0,1,"Player_10967",3764295,"WG"
"168",0,89.5,10.3,"From Free Kick",5.096077,6.208119,-7.402495,"",-1.292497,1,1,3,1,1,1,1,"Player_3661",3764295,"ST"
